District,Area,Population,Male,Female,Transgender,SexRatio,Density,UrbanPercent,HouseholdSize,Population2017,GrowthRate,LiteracyRate,Hospitals,Beds,RHCs,BHUs,PrimarySchools,MiddleSchools,HighSchools,TotalSchools,HospitalsPer100k,BedsPer100k,RHCsPer100k,BHUsPer100k,SchoolsPer100k,HealthIndex,EducationIndex,InfrastructureIndex,DevelopmentScore,Rank,Latitude,Longitude
Lahore,1772,13004135,6881801,6118958,3376,112.47,7338.68,100,6.4,11119985,2.650380836,76.19179215,50,13634,12,43,2727,185,381,3293,0.384493086,104.8435748,0.092278341,0.330664054,25.32271466,100,47.14065338,100,78.86,1,31.5497,74.3436
Jhelum,3587,1382308,703667,678543,98,103.7,385.37,39.16,6,1222403,2.075793869,77.25716382,6,613,7,48,493,110,184,787,0.434056665,44.34612257,0.506399442,3.472453317,56.93376585,38.67912326,94.50496388,3.09913498,52.11,2,32.9405,73.7276
Rawalpindi,5285,6118911,3109807,3007760,1344,103.39,1157.79,68.82,6.1,5402380,2.103238496,80.47342257,15,3859,6,87,1056,236,468,1760,0.24514166,63.06677773,0.098056664,1.421821628,28.76328811,56.00311364,58.33394903,29.4106665,50.29,3,33.5651,73.0169
Chakwal,6525,1734854,864029,870736,89,99.23,265.88,25.06,6,1495463,2.512613146,73.65375036,6,390,11,68,664,164,288,1116,0.345850429,22.48027788,0.63405912,3.919638194,64.32817978,15.63559904,100,3.758790217,46.41,4,32.9303,72.8551
Layyah,6289,2102386,1082922,1019375,89,106.23,334.3,18.37,6.1,1823995,2.402278355,53.5619718,8,777,6,36,1092,229,182,1503,0.380520038,36.95800866,0.285390028,1.71234017,71.49020208,28.5228108,81.25838336,8.587964404,44.63,5,30.9697,70.9428
Gujrat,3192,3219375,1608221,1610964,190,99.83,1008.58,41.13,6.5,2756289,2.629429353,77.80589922,15,1190,10,89,874,179,319,1372,0.465928946,36.96369637,0.310619297,2.764511745,42.61696758,29.78227287,74.54822605,10.3864584,42.84,6,32.5742,74.0789
Mianwali,5840,1798268,918115,880088,65,104.32,307.92,20.21,6,1542601,2.596023122,56.09968163,6,536,11,43,914,153,154,1221,0.333654383,29.80645821,0.611699702,2.391189745,67.89866694,21.84742436,79.73086887,5.320804033,40.87,7,32.5853,71.5436
Multan,3720,5362305,2730613,2631285,407,103.77,1441.48,46.62,6,4746166,2.06079674,55.22676458,20,4375,11,84,886,185,213,1284,0.372973936,81.58804842,0.205135665,1.56649053,23.94492667,76.37534857,14.75485465,29.69070882,40.06,8,30.1575,71.5249
Sahiwal,3201,2881811,1460748,1420910,153,102.8,900.28,26.29,6.4,2513011,2.314924828,58.17797489,9,1813,13,76,654,209,260,1123,0.312303617,62.91182871,0.451105225,2.637230547,38.96855137,57.59905055,40.80928755,12.67658224,39.65,9,30.6682,73.1114
Faisalabad,5857,9075819,4731224,4343633,962,108.92,1549.57,48.4,6.5,7882444,2.384000354,68.56421489,21,4780,18,172,1180,430,535,2145,0.231384077,52.66742318,0.198329209,1.895145771,23.6342307,45.39761648,33.63706951,37.57545585,38.74,10,31.4504,73.135
Narowal,2337,1950954,996445,954424,85,104.4,834.81,17.89,6.9,1707575,2.251796506,68.86903615,3,467,7,57,751,142,183,1076,0.153770924,23.93700723,0.358798824,2.921647563,55.15250488,15.62632838,79.76448623,3.970377746,38.37,11,32.102,74.873
Toba Tek Singh,3252,2524044,1295646,1228162,236,105.49,776.15,22.33,6.4,2190602,2.396156007,65.82620603,8,900,9,75,738,236,254,1228,0.316951685,35.65706462,0.356570646,2.971422051,48.65208372,28.48589463,65.93159152,7.642043687,38.25,12,30.972,72.4828
Khushab,6511,1501089,768126,732914,49,104.8,230.55,27.9,6,1280372,2.693565196,55.87771369,6,450,5,44,688,105,147,940,0.399709811,29.9782358,0.333091509,2.931205278,62.62120367,22.38552933,71.75947101,3.036903354,37.3,13,32.2957,72.3525
Attock,6857,2170423,1089655,1080687,81,100.83,316.53,28.75,6.1,1886378,2.371816109,64.16192363,7,582,6,58,771,179,239,1189,0.322517776,26.81504942,0.276443808,2.672290148,54.78194804,18.55276693,72.40443004,5.414151472,36.81,14,33.7687,72.3621
Hafizabad,2367,1319909,670023,649826,60,103.11,557.63,38.21,6.6,1156954,2.226642698,58.28844689,3,382,8,33,540,108,72,720,0.227288396,28.94138914,0.60610239,2.50017236,54.54921514,20.9117991,63.55350989,1.225963034,33.05,15,32.0709,73.688
Sialkot,3016,4499394,2277939,2220596,859,102.58,1491.84,32.94,6.7,3894938,2.440298871,73.39623521,11,1009,8,120,1203,244,308,1755,0.244477367,22.42524215,0.177801722,2.667025826,39.00525271,13.62511321,62.92127771,11.6186446,32.84,16,32.4945,74.5229
Bahawalpur,24830,4284964,2174995,2109500,469,103.1,172.57,37.79,6.3,3669176,2.626736658,47.14399053,12,2467,13,78,1186,252,232,1670,0.280049027,57.57341252,0.303386446,1.820318677,38.97348963,50.77056172,24.82274071,20.16927002,32.74,17,29.3956,71.6836
Bhakkar,8153,1957470,1016361,941032,77,108,240.09,18,6.2,1647852,2.919327974,47.34613848,5,556,6,40,920,196,134,1250,0.255431756,28.4040113,0.306518108,2.04345405,63.85793907,19.54774312,61.18563741,5.619515838,32.72,18,31.6269,71.0654
Bahawalnagar,8878,3550342,1845493,1704479,370,108.27,399.9,27.44,6.3,2975656,2.995023143,48.87153274,6,983,10,104,1555,325,198,2078,0.168997804,27.68747349,0.281663006,2.929295262,58.52957264,19.61027374,55.6732484,13.43580808,32.49,19,29.9983,73.2528
Sargodha,5856,4334448,2194156,2139911,381,102.53,740.17,37.13,6.3,3696212,2.697779886,59.76023412,17,1404,13,132,1199,288,390,1877,0.392206805,32.39166787,0.299922851,3.045370483,43.30424543,25.06605589,49.38733107,14.87335864,32.25,20,29.9983,73.2528
Gujranwala,3622,5959750,3028290,2930923,537,103.32,1645.43,60.3,7,5011066,2.939964514,71.89013161,12,1942,16,99,963,273,304,1540,0.201350728,32.58525945,0.268467637,1.661143504,25.84001007,23.54311483,41.65523516,16.09309851,28.93,21,32.1877,74.1945
Mandi Bahauddin,2673,1829486,917125,912222,139,100.54,684.43,18.92,6.4,1594039,2.32906214,64.52486381,7,509,11,48,475,111,126,712,0.38262113,27.82202214,0.601261775,2.623687746,38.9180349,20.00063047,49.93584773,1.991412036,27.47,22,32.5861,73.4917
Nankana Sahib,2216,1634871,831931,802859,81,103.62,737.76,19.78,6.6,1354986,3.187872984,55.55391261,4,410,9,49,538,129,108,775,0.244667622,25.07843126,0.55050215,2.997178371,47.40435178,17.24261985,49.23337273,1.748708694,26.17,23,31.4494,73.7127
Sheikhupura,3744,4049418,2079378,1969434,606,105.58,1081.58,38.3,6.8,3460004,2.663762419,62.66512153,11,1548,9,84,755,213,168,1136,0.271643975,38.22771569,0.222254161,2.074372169,28.0534141,30.096174,31.49194747,11.12079159,25.91,24,31.7167,73.985
Jhang,6166,3065639,1585616,1479771,252,107.15,497.18,26.13,6.2,2743526,1.872584127,51.49143245,8,604,10,62,1119,153,200,1472,0.260957014,19.70225457,0.326196268,2.02241686,48.01609061,10.17306691,44.23154053,7.318439231,23.08,25,31.2781,72.3317
Dera Ghazi Khan,11922,3393705,1712930,1680654,121,101.92,284.66,23.79,7.4,2872631,2.82500599,40.07796764,7,1171,10,55,1300,169,145,1614,0.206264245,34.50506158,0.294663207,1.62064764,47.55864166,25.60225125,27.02471078,11.72443836,22.7,26,30.0459,70.6403
Rahim Yar Khan,11880,5564703,2896819,2667333,551,108.6,468.41,24.12,6.7,4807762,2.473636488,42.12586456,6,1343,20,109,2084,314,304,2702,0.107822466,24.13426197,0.35940822,1.958774799,48.55605052,14.75224032,31.43886617,19.55940009,22.63,27,28.4212,70.2989
Okara,4377,3515490,1789744,1725411,335,103.73,803.17,33.78,6.4,3040826,2.453735106,52.79133317,8,734,11,96,913,234,250,1397,0.227564294,20.87902398,0.312900904,2.730771528,39.73841484,12.15462055,34.11729071,7.660713174,19.82,28,30.8081,73.4458
Vehari,4364,3430421,1734732,1695250,439,102.33,786.07,22.82,6.3,2902081,2.834647212,51.96566973,4,612,14,81,936,248,214,1398,0.116603764,17.84037586,0.408113173,2.361226217,40.75301545,8.46413355,34.39115418,6.882817848,18.44,29,30.0444,72.3556
Khanewal,4349,3364077,1734655,1629036,386,106.48,773.53,21.31,6.3,2920233,2.392806041,53.27561373,7,470,9,81,648,333,235,1216,0.20808085,13.97114275,0.267532521,2.407792687,36.14661614,4.2909557,29.6129588,4.88518265,14.57,30,30.3017,71.9321
Kasur,3995,4084286,2087217,1996670,399,104.53,1022.35,30.46,6.3,3454881,2.836434319,54.2648147,8,661,14,82,914,196,233,1343,0.195872669,16.18397928,0.342777171,2.007694858,32.88212432,6.312755282,26.31493615,6.870371523,14.45,31,31.1187,74.4503
Chiniot,2643,1563024,790731,772126,167,102.41,591.38,31.46,6.1,1368659,2.244051032,46.27335647,3,215,4,39,508,104,78,690,0.191935632,13.75538699,0.255914177,2.495163222,44.14519547,4.122651121,31.05712263,0,13.87,32,31.7196,72.9784
Lodhran,2778,1928299,997846,930336,117,107.26,694.13,16.86,5.9,1699693,2.13133071,43.1517627,5,408,5,48,499,137,110,746,0.259295887,21.1585444,0.259295887,2.489240517,38.68694637,12.17199113,18.62068356,1.562013815,12.1,33,29.5386,71.6336
Pakpattan,2724,2136170,1085316,1050694,160,103.3,784.2,22.12,6.2,1824228,2.673271535,48.60493742,4,210,6,55,589,138,119,846,0.187251015,9.83067827,0.280876522,2.574701452,39.6035896,0,27.85370263,0.945920717,11.38,34,30.341,73.3866
Muzaffargarh,8249,5015325,2546877,2468339,109,103.18,607.99,18.88,6.2,4328549,2.491687268,39.87023799,6,695,14,76,1380,184,179,1743,0.119633324,13.85752668,0.279144422,1.515355436,34.75348058,3.12376655,8.16259114,9.558777771,6.75,35,30.0744,71.1938
Rajanpur,12318,2381049,1209183,1171748,118,103.19,193.3,26.51,6.7,1996039,2.991529205,29.42998943,5,450,7,32,785,75,82,942,0.209991479,18.89923307,0.29398807,1.343945463,39.56239456,8.486594885,0,3.043126517,3.73,36,29.1041,70.3297
